move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect,flavor_text,name
m_ee2c48f3,1.0,id-1,,20.0,100.0,0.0,10,1,24,,2.0,22.0,10.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Flash
m_fe38ff7a,7.0,id-9,,1.0,,0.0,10,3,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Corkscrew Crash
m_c10e5254,7.0,id-9,,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Corkscrew Crash
m_51a4bc1a,8.0,id-10,120.0,5.0,90.0,0.0,10,2,5,10.0,,,,The user attacks by igniting a small stone and launchingit as a fiery ball at the target. This may also leave thetarget with a burn.,Pyro Ball
m_1db76106,7.0,id-4,,10.0,,4.0,7,1,384,,,,,"In addition to protecting the user from attacks, thismove also poisons any attacker that makesdirect contact.",Baneful Bunker
m_7ec28dcc,6.0,id-1,,20.0,,0.0,10,1,358,100.0,,,,"The user tells the target a secret, and the targetloses its ability to concentrate. This lowersthe target’s Sp. Atk stat.",Confide
m_5d8d6915,8.0,id-14,,20.0,,0.0,10,1,427,,,,,The user scatters a cloud of magic powder thatchanges the target to Psychic type.,Magic Powder
m_bf6dd5d6,1.0,id-1,,20.0,100.0,,10,1,87,,4.0,18.0,19.0,For four turns this move prevents the target fromusing the move it last used.,Disable
m_8fade87d,4.0,id-17,70.0,5.0,100.0,1.0,10,2,249,,4.0,,1.0,This move enables the user to attack first. This movefails if the target is not readying an attack.,Sucker Punch
m_1696d08a,7.0,id-9,60.0,5.0,100.0,0.0,10,2,45,30.0,,,,"The user rotates, centering the hex nut in its chest,and then strikes with its arms twice in a row. This mayalso make the target flinch.",Double Iron Bash
m_6e54478f,4.0,id-12,,10.0,100.0,0.0,10,1,248,,2.0,,19.0,A seed that causes worry is planted on the target.It prevents sleep by making the target’sAbility Insomnia.,Worry Seed
m_9e490ec7,1.0,id-1,80.0,15.0,100.0,0.0,10,2,1,,5.0,23.0,5.0,The target is slugged with a punch thrown atmaximum power.,Strength
m_484765f5,8.0,id-11,10.0,10.0,,0.0,2,2,1,,,,,This is a Water-type attack Dynamax Pokémon use.The user summons a heavy rain that falls forfive turns.,Max Geyser
m_9dc9ba13,8.0,id-11,10.0,10.0,,0.0,2,2,1,,,,,This is a Water-type attack Dynamax Pokémon use.The user summons a heavy rain that falls forfive turns.,Max Geyser
m_15a326cb,1.0,id-1,120.0,15.0,100.0,0.0,10,2,199,,5.0,3.0,9.0,A reckless life-risking tackle in which the user rushesthe target. This also damages the user quite a lot.,Double-Edge
m_6a703256,8.0,id-7,90.0,15.0,100.0,0.0,10,3,394,,,,,The user attacks the enemy with a pollen puff thatexplodes. If the target is an ally it gives the ally apollen puff that restores its HP instead.,Pollen Puff
m_c3c25830,6.0,id-10,,10.0,100.0,0.0,10,3,72,100.0,,,,The user attacks by breathing a special hot fire.This also lowers the targets Sp. Atk stat.,Mystical Fire
m_110238b9,1.0,id-2,80.0,,80.0,0.0,10,2,49,,1.0,3.0,5.0,The user grabs the target and recklessly dives forthe ground. This also damages the user a little.,Submission
m_974f79fe,1.0,id-1,20.0,,100.0,0.0,10,2,82,,1.0,17.0,11.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Rage
m_16961d84,1.0,id-1,,10.0,,0.0,10,1,83,,3.0,19.0,12.0,The user copies the target’s last move. The movecan be used during battle until the Pokémon isswitched out.,Mimic
m_0ecad2b7,1.0,id-1,,20.0,90.0,0.0,10,3,131,,1.0,12.0,5.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Sonic Boom
m_0cf84e4f,1.0,id-7,25.0,20.0,100.0,,10,2,78,20.0,1.0,9.0,7.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Twineedle
m_0e7a7dfe,1.0,id-7,25.0,20.0,100.0,0.0,10,2,78,20.0,1.0,9.0,7.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Twineedle
m_12662c59,8.0,id-2,150.0,,100.0,0.0,10,2,81,,,,,The user attacks wildly with its thick leek.The user cant move on the next turn because theforce of this move makes it stagger.,Meteor Assault
m_5683765a,8.0,id-2,150.0,5.0,100.0,0.0,10,2,81,,,,,The user attacks wildly with its thick leek.The user cant move on the next turn because theforce of this move makes it stagger.,Meteor Assault
m_c01c913a,5.0,id-12,,10.0,,0.0,7,1,329,,,,,"The user protects itself by wrapping its body in softcotton, which drastically raises the user’sDefense stat.",Cotton Guard
m_0955254a,4.0,id-6,100.0,5.0,80.0,,10,2,44,,5.0,,4.0,The user stabs the target from below withsharpened stones. Critical hits land more easily.,Stone Edge
m_dcbbd5ab,8.0,id-2,90.0,,100.0,0.0,10,2,1,100.0,,,,The user overwhelms the target with lightning-likemovement before delivering a kick. This also lowersthe targets Defense stat.,Thunderous Kick
m_e743005f,7.0,id-10,,1.0,,0.0,10,3,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Inferno Overdrive
m_bae6150c,7.0,id-10,,1.0,,0.0,10,3,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Inferno Overdrive
m_eaa1d11d,1.0,id-2,,20.0,100.0,0.0,10,2,88,,5.0,23.0,5.0,The target is thrown using the power of gravity.It inflicts damage equal to the users level.,Seismic Toss
m_0f5680d3,4.0,id-14,80.0,15.0,90.0,0.0,10,2,32,20.0,2.0,,18.0,The user focuses its willpower to its head andattacks the target. This may also make thetarget flinch.,Zen Headbutt
m_e785b263,4.0,id-14,,,,0.0,10,1,251,,1.0,,16.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Heart Swap
m_342c86fa,1.0,id-8,,15.0,100.0,0.0,10,3,88,,4.0,23.0,5.0,The user makes the target see a frightening mirage.It inflicts damage equal to the user’s level.,Night Shade
m_e684463d,4.0,id-5,65.0,10.0,85.0,0.0,10,3,74,30.0,4.0,,18.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Mud Bomb
m_656885e9,3.0,id-6,25.0,10.0,90.0,0.0,10,2,30,,5.0,12.0,7.0,The user hurls hard rocks at the target. Two to fiverocks are launched in a row.,Rock Blast
m_fdbfa006,5.0,id-3,110.0,10.0,,0.0,10,3,334,30.0,,,,The user attacks by wrapping its opponent in afierce wind that flies up into the sky. This may alsoconfuse the target.,Hurricane
m_13488df4,5.0,id-17,,,,0.0,7,1,278,,,,,The user sharpens its claws to boost its Attack statand accuracy.,Hone Claws
m_7a909501,5.0,id-3,60.0,10.0,,0.0,10,2,312,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Sky Drop
m_fa96adba,1.0,id-10,90.0,15.0,100.0,0.0,10,3,5,10.0,2.0,1.0,17.0,The target is scorched with an intense blast of fire.This may also leave the target with a burn.,Flamethrower
m_648c5144,7.0,id-9,60.0,5.0,100.0,0.0,10,2,45,30.0,,,,The user rotates centering the hex nut in its chestand then strikes with its arms twice in a row. This mayalso make the target flinch.,Double Iron Bash
m_f73b0053,3.0,id-17,90.0,10.0,100.0,0.0,11,3,1,20.0,,,,The user transforms its wrath into a fire-like aurato attack. This may also make opposing Pokémon flinch.,Fiery Wrath
m_38388829,6.0,id-17,90.0,10.0,100.0,0.0,11,3,1,20.0,,,,The user transforms its wrath into a fire-like aurato attack. This may also make opposing Pokémon flinch.,Fiery Wrath
m_7de7d71c,8.0,id-4,10.0,10.0,,0.0,2,2,1,,,,,This is a Poison-type attack Dynamax Pokémon use.This raises ally Pokémons Sp. Atk stats.,Max Ooze
m_c03350f3,6.0,id-5,,10.0,100.0,0.0,11,2,374,,,,,The user attacks with a wave that crawls alongthe ground. Those it hits cant flee from battle.,Thousand Waves
m_461c352d,1.0,id-14,,20.0,,-6.0,7,1,154,,1.0,15.0,1.0,"The user switches places with a party Pokémon inwaiting, if any. If a wild Pokémon uses this move,it flees.",Teleport
m_c6c5969e,8.0,id-4,10.0,10.0,,0.0,2,2,1,,,,,This is a Poison-type attack Dynamax Pokémon use.This raises ally Pokémons Sp. Atk stats.,Max Ooze
m_71b40e9d,2.0,id-2,100.0,5.0,50.0,0.0,10,2,77,100.0,1.0,10.0,18.0,The user punches the target with full concentratedpower. This confuses the target if it hits.,Dynamic Punch
m_74fadd96,5.0,id-13,70.0,20.0,100.0,0.0,10,3,229,,,,,"After making its attack, the user rushes back toswitch places with a party Pokémon in waiting.",Volt Switch
m_4e03428c,5.0,id-12,80.0,10.0,100.0,0.0,10,3,327,,,,,"A column of grass hits the target. When used withits water equivalent, its power increases and a vastswamp appears.",Grass Pledge
m_5fcbbe69,5.0,id-5,60.0,20.0,100.0,0.0,9,2,71,100.0,,,,The user strikes everything around it by stompingdown on the ground. This lowers the Speed stats ofthose hit.,Bulldoze
m_ea6373b3,5.0,id-7,50.0,20.0,100.0,0.0,11,3,72,100.0,,,,"While resisting, the user attacks opposing Pokémon.This lowers the Sp. Atk stats of those hit.",Struggle Bug
m_d8e516e5,5.0,id-16,60.0,10.0,90.0,-6.0,10,2,314,,,,,"The target is knocked away, and a different Pokémonis dragged out. In the wild, this ends a battle againsta single Pokémon.",Dragon Tail
m_9028620d,5.0,id-15,60.0,10.0,90.0,0.0,10,3,289,100.0,,,,The user blows its cold breath on the target. Thisattack always results in a critical hit.,Frost Breath
m_f85ccf49,5.0,id-13,55.0,15.0,95.0,0.0,11,3,21,100.0,,,,The user attacks and captures opposing Pokémonusing an electric net. This lowers their Speed stats.,Electroweb
m_3a89fdbb,5.0,id-1,,30.0,,0.0,7,1,328,,,,,"The user is roused, and its Attack and Sp. Atkstats increase.",Work Up
m_314f5161,5.0,id-5,80.0,10.0,95.0,0.0,10,2,44,,,,,The user crashes into its target while rotating itsbody like a drill. Critical hits land more easily.,Drill Run
m_cc7766fc,5.0,id-13,90.0,15.0,100.0,0.0,10,2,49,,,,,The user shrouds itself in electricity and smashesinto its target. This also damages the user a little.,Wild Charge
m_0f3cfadb,8.0,id-7,70.0,10.0,90.0,0.0,10,2,1,100.0,,,,The user skitters behind the target to attack. This alsolowers the target’s Sp. Atk stat.,Skitter Smack
m_76d3bc5d,4.0,id-7,,20.0,100.0,0.0,10,2,229,,3.0,,16.0,After making its attack the user rushes back toswitch places with a party Pokémon in waiting.,U-turn
m_8fabc910,2.0,id-9,70.0,25.0,90.0,0.0,10,2,139,10.0,1.0,12.0,5.0,The target is hit with wings of steel. This may alsoraise the users Defense stat.,Steel Wing
m_aa2fc39d,1.0,id-1,,5.0,30.0,0.0,10,2,39,,1.0,14.0,9.0,A vicious tearing attack with big pincers. The targetfaints instantly if this attack hits.,Guillotine
m_3e5a757c,4.0,id-5,,10.0,,0.0,7,1,382,,,,,The user regains up to half of its max HP. It restoresmore HP in a sandstorm.,Shore Up
m_abca1c74,8.0,id-14,,20.0,100.0,0.0,10,1,427,,,,,The user scatters a cloud of magic powder thatchanges the target to Psychic type.,Magic Powder
m_33b59df9,1.0,id-15,65.0,20.0,100.0,0.0,10,3,69,10.0,2.0,23.0,17.0,The target is hit with a rainbow-colored beam.This may also lower the targets Attack stat.,Aurora Beam
m_1cd7149a,8.0,id-12,80.0,10.0,100.0,0.0,10,2,71,100.0,,,,"The user plays its drum, controlling the drum’s rootsto attack the target. This also lowers the target’sSpeed stat.",Drum Beating
m_1b63d58c,5.0,id-10,100.0,5.0,100.0,0.0,9,3,5,30.0,,,,The user torches everything around it in an infernoof scarlet flames. This may also leave those it hitswith a burn.,Searing Shot
m_ebacce08,8.0,id-12,35.0,15.0,100.0,0.0,10,2,43,100.0,,,,The user snares the target in a snap trap for four tofive turns.,Snap Trap
m_42fcdda2,8.0,id-10,100.0,10.0,,,2,2,1,,,,,This is a Fire-type attack Dynamax Pokémon use.The user intensifies the sun for five turns.,Max Flare
m_0b0593ce,5.0,id-10,100.0,5.0,,0.0,9,3,5,30.0,,,,The user torches everything around it in an infernoof scarlet flames. This may also leave those it hitswith a burn.,Searing Shot
m_36f759a9,7.0,id-13,175.0,1.0,,0.0,10,3,7,100.0,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Stoked Sparksurfer
m_a99c695a,4.0,id-4,65.0,10.0,100.0,0.0,10,3,284,,,,,The user drenches the target in a special poisonousliquid. This moves power is doubled if the targetis poisoned.,Venoshock
m_db55c491,1.0,id-14,,15.0,80.0,0.0,10,1,24,,4.0,24.0,11.0,The user distracts the target by bending a spoon.This lowers the targets accuracy.,Kinesis
m_944df314,3.0,id-11,60.0,20.0,100.0,0.0,10,3,77,20.0,2.0,21.0,17.0,The user attacks the target with a pulsing blast ofwater. This may also confuse the target.,Water Pulse
m_775d0fe9,3.0,id-9,140.0,5.0,100.0,0.0,10,3,149,,1.0,24.0,17.0,"Two turns after this move is used, a concentratedbundle of light blasts the target.",Doom Desire
m_ca2c16c8,3.0,id-10,85.0,10.0,90.0,0.0,10,2,201,10.0,2.0,1.0,17.0,The user launches a kick that lands a critical hitmore easily. This may also leave the target witha burn.,Blaze Kick
m_bf6da746,3.0,id-1,,20.0,100.0,0.0,9,1,200,,3.0,6.0,14.0,The user performs a wobbly dance that confusesthe Pokémon around it.,Teeter Dance
m_b6fca09b,4.0,id-14,,5.0,,0.0,12,1,216,,2.0,,13.0,This move enables Flying-type Pokémon or Pokémonwith the Levitate Ability to be hit by Ground-typemoves. Moves that involve flying can’t be used.,Gravity
m_b0857aaf,4.0,id-14,,40.0,,0.0,10,1,217,,3.0,,20.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Miracle Eye
m_48bd1847,3.0,id-14,140.0,5.0,90.0,0.0,10,3,205,100.0,4.0,3.0,22.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Psycho Boost
m_ea0f2ea3,4.0,id-3,,10.0,,0.0,7,1,215,,1.0,,8.0,The user lands and rests its body. This move restoresthe user’s HP by up to half of its max HP.,Roost
m_a33a8572,3.0,id-1,,20.0,,0.0,7,1,214,,4.0,2.0,13.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Camouflage
m_4988a1c4,3.0,id-2,15.0,20.0,100.0,0.0,10,2,30,,5.0,10.0,7.0,The user lets loose a flurry of open-palmed armthrusts that hit two to five times in a row.,Arm Thrust
m_45b92510,3.0,id-11,80.0,10.0,100.0,0.0,10,2,256,,2.0,16.0,6.0,"Diving on the first turn, the user floats up andattacks on the next turn.",Dive
m_bfad164e,3.0,id-1,70.0,20.0,100.0,0.0,10,2,198,30.0,4.0,29.0,14.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Secret Power
m_ea296a4f,3.0,id-3,,15.0,100.0,0.0,10,1,59,,2.0,28.0,19.0,The user covers the target’s body with a mass ofdown that harshly lowers its Attack stat.,Feather Dance
m_a5b175ba,3.0,id-14,70.0,5.0,100.0,0.0,10,3,72,50.0,4.0,4.0,22.0,A mist-like flurry of down envelops and damages thetarget. This may also lower the target’s Sp. Atk stat.,Mist Ball
m_9344d335,3.0,id-14,70.0,5.0,100.0,0.0,10,3,73,50.0,4.0,9.0,22.0,The user lets loose a damaging burst of light. Thismay also lower the target’s Sp. Def stat.,Luster Purge
m_04f0cedb,3.0,id-7,,20.0,,0.0,7,1,322,,2.0,32.0,11.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Tail Glow
m_25c7f7f0,6.0,id-11,15.0,20.0,100.0,1.0,10,3,361,,,,,The user hits the target with throwing stars two tofive times in a row. This move always goes first.,Water Shuriken
m_3cbdf8b6,6.0,id-10,75.0,10.0,100.0,0.0,10,3,72,100.0,,,,"The user attacks by breathing a special, hot fire.This also lowers the target’s Sp. Atk stat.",Mystical Fire
m_a859b89f,6.0,id-12,,10.0,,4.0,7,1,362,,,,,"In addition to protecting the user from attacks, thismove also damages any attacker that makesdirect contact.",Spiky Shield
m_fa9da9be,6.0,id-18,,20.0,,0.0,3,1,363,,,,,The user raises the Sp. Def stat of an ally Pokémonby using a mysterious aroma.,Aromatic Mist
m_f4874272,4.0,id-16,150.0,5.0,90.0,0.0,10,3,81,,1.0,,22.0,The user blasts the target with power that distortseven time. The user can’t move on the next turn.,Roar of Time
m_c0ff8a31,4.0,id-1,35.0,10.0,90.0,0.0,10,2,45,,4.0,,7.0,"The user slams the target with a long tail, vines, or atentacle. The target is hit twice in a row.",Double Hit
m_f4405f8b,6.0,id-11,110.0,5.0,95.0,0.0,10,3,5,30.0,,,,The user immerses the target in superheated steam.This may also leave the target with a burn.,Steam Eruption
m_02a0145d,6.0,id-14,80.0,5.0,,0.0,10,3,360,,,,,"Using a hyperspace hole, the user appears rightnext to the target and strikes. This also hits a targetusing a move such as Protect or Detect.",Hyperspace Hole
m_0545d874,4.0,id-7,,10.0,,0.0,7,1,207,,4.0,,11.0,"The user calls out its underlings to shield its body,raising its Defense and Sp. Def stats.",Defend Order
m_d906a042,4.0,id-7,90.0,15.0,100.0,0.0,10,2,44,,4.0,,4.0,The user calls out its underlings to pummel thetarget. Critical hits land more easily.,Attack Order
m_a4a05963,4.0,id-6,150.0,5.0,80.0,0.0,10,2,270,,5.0,,22.0,"The user attacks the target with a hazardous,full-power headbutt. This also damages theuser terribly.",Head Smash
m_2ff1dfe3,4.0,id-7,,10.0,,0.0,7,1,33,,4.0,,8.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Heal Order
m_56f13700,4.0,id-13,50.0,10.0,90.0,0.0,10,3,277,70.0,2.0,,17.0,The user attacks the target with an electric charge. Theuser may use any remaining electricity to raise itsSp. Atk stat.,Charge Beam
m_eff19292,4.0,id-7,60.0,20.0,100.0,0.0,10,2,225,,5.0,,12.0,"The user bites the target. If the target is holding aBerry, the user eats it and gains its effect.",Bug Bite
m_af28bd27,4.0,id-11,40.0,20.0,100.0,1.0,10,2,104,,2.0,,1.0,The user lunges at the target at a speed that makesit almost invisible. This move always goes first.,Aqua Jet
m_791a94eb,4.0,id-12,120.0,15.0,100.0,0.0,10,2,199,,5.0,,18.0,The user slams its rugged body into the target toattack. This also damages the user quite a lot.,Wood Hammer
m_a8dd22e4,3.0,id-12,,20.0,,0.0,7,1,182,,4.0,15.0,21.0,"The user lays roots that restore its HP on every turn.Because it’s rooted, it can’t switch out.",Ingrain
m_4cca7e39,3.0,id-1,,20.0,,0.0,7,1,181,,3.0,25.0,14.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Assist
m_a6f8291b,2.0,id-12,,40.0,100.0,0.0,11,1,61,,2.0,10.0,1.0,"The user releases cotton-like spores that cling toopposing Pokémon, which harshly lowers theirSpeed stats.",Cotton Spore
m_aedc7a52,2.0,id-2,,15.0,100.0,0.0,10,2,100,,1.0,28.0,15.0,An all-out attack that becomes more powerful theless HP the user has.,Reversal
m_a850f13d,3.0,id-14,,10.0,100.0,0.0,10,1,178,,4.0,12.0,12.0,The user catches the target off guard and swaps itsheld item with its own.,Trick
m_618be3f8,3.0,id-1,,20.0,,5.0,3,1,177,,4.0,18.0,20.0,The user assists an ally by boosting the power ofthat ally’s attack.,Helping Hand
m_3ecb05f2,1.0,id-1,40.0,30.0,100.0,1.0,10,2,104,,1.0,30.0,1.0,The user lunges at the target at a speed that makesit almost invisible. This move always goes first.,Quick Attack
m_5f3f21f5,1.0,id-1,20.0,20.0,100.0,0.0,10,2,82,,1.0,17.0,11.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Rage
m_576636eb,1.0,id-14,,40.0,,0.0,7,1,11,,2.0,32.0,11.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Meditate
m_fd0283c6,1.0,id-14,,30.0,,0.0,7,1,53,,1.0,30.0,1.0,The user relaxes and lightens its body to movefaster. This sharply raises the Speed stat.,Agility
m_7a20ba36,1.0,id-14,90.0,10.0,100.0,0.0,10,3,73,10.0,4.0,5.0,17.0,The target is hit by a strong telekinetic force.This may also lower the target’s Sp. Def stat.,Psychic
m_681cd0c1,1.0,id-14,,20.0,60.0,0.0,10,1,2,,4.0,5.0,19.0,The user employs hypnotic suggestion to make thetarget fall into a deep sleep.,Hypnosis
m_84ac873b,1.0,id-4,,10.0,90.0,0.0,10,1,34,,4.0,33.0,19.0,A move that leaves the target badly poisoned.Its poison damage worsens every turn.,Toxic
m_e6d6d933,1.0,id-14,50.0,25.0,100.0,0.0,10,3,77,10.0,4.0,9.0,5.0,The target is hit by a weak telekinetic force.This may also confuse the target.,Confusion
m_d525796e,1.0,id-5,,5.0,30.0,0.0,10,2,39,,5.0,14.0,9.0,The user opens up a fissure in the ground and dropsthe target in. The target faints instantly if thisattack hits.,Fissure
m_ae2ceb64,1.0,id-5,80.0,10.0,100.0,0.0,10,2,257,,4.0,15.0,6.0,"The user burrows into the ground, then attacks onthe next turn.",Dig
m_fb4ed71b,3.0,id-12,25.0,30.0,100.0,0.0,10,2,30,,1.0,14.0,7.0,The user forcefully shoots seeds at the target twoto five times in a row.,Bullet Seed
m_f12e6c81,6.0,id-17,75.0,5.0,100.0,0.0,10,2,1,,,,,The user lashes out to vent its frustration towardthe target. If the users stats were lowered during thisturn the power of this move is doubled.,Lash Out
m_19612897,4.0,id-17,75.0,5.0,100.0,0.0,10,2,1,,,,,The user lashes out to vent its frustration towardthe target. If the users stats were lowered during thisturn the power of this move is doubled.,Lash Out
m_1607d8e8,2.0,id-1,,10.0,,0.0,7,1,143,,3.0,32.0,11.0,The user maximizes its Attack stat in exchange forHP equal to half its max HP.,Belly Drum
m_c4308462,2.0,id-18,,10.0,75.0,0.0,10,1,50,,3.0,18.0,19.0,"The user kisses the target with a sweet, angeliccuteness that causes confusion.",Sweet Kiss
m_86fa8463,2.0,id-17,60.0,20.0,,0.0,10,2,18,,4.0,27.0,18.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Feint Attack
m_f3342140,2.0,id-1,,10.0,100.0,0.0,10,1,61,,5.0,10.0,2.0,The user frightens the target with a scary face toharshly lower its Speed stat.,Scary Face
m_5f8efca1,2.0,id-2,40.0,30.0,100.0,1.0,10,2,104,,1.0,30.0,1.0,The user throws a punch at blinding speed. Thismove always goes first.,Mach Punch
m_bd563f0b,2.0,id-1,,10.0,,4.0,7,1,112,,3.0,15.0,16.0,This move enables the user to protect itself fromall attacks. Its chance of failing rises if it is usedin succession.,Protect
m_078c2127,2.0,id-15,40.0,25.0,100.0,0.0,11,3,6,10.0,2.0,1.0,5.0,The user attacks with a chilling gust of powdery snow.This may also freeze opposing Pokémon.,Powder Snow
m_9163f1c8,2.0,id-8,,10.0,100.0,0.0,10,1,101,,5.0,26.0,19.0,The user unleashes its grudge on the move last usedby the target by cutting 4 PP from it.,Spite
m_7282ac42,4.0,id-2,75.0,10.0,100.0,0.0,10,2,4,,2.0,,20.0,An energy-draining punch. The user’s HP is restoredby half the damage taken by the target.,Drain Punch
m_30a116dc,4.0,id-8,70.0,,100.0,0.0,10,2,44,,3.0,,17.0,The user slashes with a sharp claw made fromshadows. Critical hits land more easily.,Shadow Claw
m_dd4990ac,2.0,id-5,20.0,10.0,100.0,0.0,10,3,74,100.0,3.0,10.0,5.0,The user hurls mud in the target’s face to inflictdamage and lower its accuracy.,Mud-Slap
m_ada0e860,2.0,id-4,90.0,10.0,100.0,0.0,10,3,3,30.0,5.0,10.0,18.0,Unsanitary sludge is hurled at the target. This mayalso poison the target.,Sludge Bomb
m_cb8f3dcb,7.0,id-7,80.0,15.0,100.0,0.0,10,2,396,100.0,,,,"The user makes a lunge at the target, attacking withfull force. This also lowers the target’s Attack stat.",Lunge
m_7a534551,7.0,id-14,,10.0,,0.0,12,1,395,,,,,This protects Pokémon on the ground from prioritymoves and powers up Psychic-type moves forfive turns.,Psychic Terrain
m_67945036,8.0,id-17,10.0,10.0,,0.0,2,2,1,,,,,This is a Dark-type attack Dynamax Pokémon use.This lowers the target’s Sp. Def stat.,Max Darkness
m_89a36eaf,8.0,id-12,10.0,10.0,,0.0,2,2,1,,,,,This is a Grass-type attack Dynamax Pokémon use.The user turns the ground into Grassy Terrain forfive turns.,Max Overgrowth
m_e9505f68,8.0,id-9,10.0,10.0,,0.0,2,2,1,,,,,This is a Steel-type attack Dynamax Pokémon use.This raises ally Pokémon’s Defense stats.,Max Steelspike
m_3fd8d6b9,8.0,id-16,,5.0,100.0,0.0,7,1,433,100.0,,,,The user raises all its stats by using some of its HP.,Clangorous Soul
m_e95fc093,8.0,id-2,80.0,10.0,100.0,0.0,10,2,434,,,,,"The user attacks by slamming its body into the target.The higher the user’s Defense, the more damage it caninflict on the target.",Body Press
m_82e6a8b8,8.0,id-18,,15.0,,0.0,10,1,435,100.0,,,,The user sharply raises the target’s Attack and Sp. Atkstats by decorating the target.,Decorate
m_efea0efe,7.0,id-1,,15.0,,3.0,10,1,389,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Spotlight
m_c7ef0ed2,7.0,id-12,40.0,40.0,100.0,0.0,10,2,1,,,,,The user attacks by pelting the target with leaves.,Leafage
m_5c7e21b5,7.0,id-1,,30.0,,0.0,7,1,391,,,,,The user concentrates intensely. The attack on thenext turn always results in a critical hit.,Laser Focus
m_f54390cc,7.0,id-4,,20.0,100.0,0.0,10,1,390,100.0,,,,The user shoots poisonous threads to poison thetarget and lower the target’s Speed stat.,Toxic Thread
m_284ef29a,7.0,id-17,80.0,15.0,100.0,0.0,10,2,393,100.0,,,,"The user attacks the target’s throat, and theresultant suffering prevents the target from usingmoves that emit sound for two turns.",Throat Chop
m_2fa7b75f,7.0,id-9,,20.0,,0.0,13,1,392,,,,,The user engages its gears to raise the Attack andSp. Atk stats of ally Pokémon with the Plus orMinus Ability.,Gear Up
m_4dfd7253,7.0,id-9,80.0,20.0,100.0,0.0,10,2,385,,,,,The user entangles the target with its anchor chainwhile attacking. The target becomes unable to flee.,Anchor Shot
m_23b1c985,7.0,id-7,90.0,15.0,100.0,0.0,10,3,394,,,,,"The user attacks the enemy with a pollen puff thatexplodes. If the target is an ally, it gives the ally apollen puff that restores its HP instead.",Pollen Puff
m_1a6e5aaa,1.0,id-1,85.0,,100.0,0.0,10,2,7,30.0,5.0,4.0,5.0,The user drops onto the target with its full bodyweight. This may also leave the target with paralysis.,Body Slam
m_f0e5b45a,4.0,id-17,,5.0,100.0,0.0,10,2,246,,4.0,,23.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Punishment
m_9f338d41,1.0,id-11,,40.0,,0.0,7,1,12,,3.0,15.0,13.0,"The user withdraws its body into its hard shell,raising its Defense stat.",Withdraw
m_8680da2f,2.0,id-1,,5.0,,,7,1,133,,2.0,25.0,8.0,The user restores its own HP. The amount of HPregained varies with the weather.,Morning Sun
m_3c700710,4.0,id-1,35.0,10.0,90.0,0.0,10,2,45,,4.0,,7.0,The user slams the target with a long tail vines or atentacle. The target is hit twice in a row.,Double Hit
m_476d1019,1.0,id-1,65.0,20.0,100.0,0.0,10,2,151,30.0,5.0,4.0,5.0,The target is stomped with a big foot. This may alsomake the target flinch.,Stomp
m_4ec1078b,1.0,id-12,45.0,25.0,100.0,0.0,10,2,1,,1.0,1.0,5.0,"The target is struck with slender, whiplike vines toinflict damage.",Vine Whip
