id,title,venue,year
1400,concurrency in the data warehouse,vldb,2000.0
1401,revisiting commit processing in distributed database systems 1997,sigmod conference,
1402,"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword",,2000.0
1403,"lessons from wall street : case studies in configuration , tuning , and distribution ( tutorial ) 1997",,
1404,temporal aggregation in active database rules sigmod conference 1997,,
1405,"controlling data warehouses with knowledge networks e schaefer , j becker , a boehmer , m jarke vldb 2000",,
1406,e.piphany epicenter technology overview vldb 2000,,
1407,"secure transaction processing in firm real-time database systems b george , j haritsa",sigmod conference,1997.0
1408,on efficiently implementing schemasql on an sql database system vldb,,1999.0
1409,the dangers of replication and a solution 1996,sigmod conference,
1410,"performance tradeoffs for client-server query processing m franklin , b jѓnsson , d kossmann sigmod conference 1996",,
1411,"physical data independence , constraints , and optimization with universal plans vldb 1999",,
1412,user-defined table operators : enhancing extensibility for ordbms vldb,,1999.0
1413,"random i/o scheduling in online tertiary storage systems b hillyer , a silberschatz 1996",sigmod conference,
1414,"hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5 k mogi , m kitsuregawa sigmod conference 1996",,
1415,"unrolling cycles to decide trigger termination s lee , t ling 1999",vldb,
1416,on-line reorganization of sparsely-populated b + trees,sigmod conference,1996.0
1417,similarity search in high dimensions via hashing vldb,,1999.0
1418,"optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering a hinneburg , d keim vldb 1999",,
1419,"birch : an efficient data clustering method for very large databases t zhang , r ramakrishnan , m livny sigmod conference 1996",,
1420,"o-o , what have they done to db2 ?",vldb,1999.0
1421,"query caching and optimization in distributed mediator systems s adali , k candan , y papakonstantinou , v subrahmanian sigmod conference",,1996.0
1422,two techniques for on-line index modification in shared nothing parallel databases,sigmod conference,1996.0
1423,"what can hierarchies do for data warehouses ? h jagadish , l lakshmanan , d srivastava vldb",,1999.0
1424,"relational databases for querying xml documents : limitations and opportunities j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton 1999",vldb,
1425,rapid bushy join-order optimization with cartesian products sigmod conference 1996,,
1426,performance measurements of compressed bitmap indices t johnson 1999,vldb,
1427,objectivity industrial exhibit o objectivity vldb,,1998.0
1428,idea : interactive data exploration and analysis sigmod conference,,1996.0
1429,"optimizing queries over multimedia repositories s chaudhuri , l gravano 1996",sigmod conference,
1430,loading a cache with query results vldb,,1999.0
1431,"query optimization for xml j mchugh , j widom",vldb,1999.0
1432,sql query optimization : reordering for a general class of queries sigmod conference 1996,,
1433,"probabilistic optimization of top n queries d donjerkovic , r ramakrishnan",vldb,1999.0
1434,"bess : storage support for interactive visualization systems a biliris , t funkhouser , w o'connell , e panagos",sigmod conference,1996.0
1435,multi-dimensional substring selectivity estimation,vldb,1999.0
1436,capbased-ams : a capability-based and event-driven activity management system,sigmod conference,1996.0
1437,quality-driven integration of heterogenous information systems 1999,vldb,
1438,"data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization 1996",sigmod conference,
1439,mining quantitative association rules in large relational tables sigmod conference,,1996.0
1440,"integrating heterogenous overlapping databases through object-oriented transformations v josifovski , t risch 1999",vldb,
1441,issues in network management in the next millennium,vldb,1999.0
1442,databases and visualization,sigmod conference,1996.0
1443,networked data management design points j hamilton vldb,,1999.0
1444,data mining techniques sigmod conference,,1996.0
1445,dbsim : a simulation tool for predicting database performance 1996,sigmod conference,
1446,in cyber space no one can hear you scream vldb 1999,,
1447,dbminer : interactive mining of multiple-level knowledge in relational databases 1996,sigmod conference,
1448,"spirit : sequential pattern mining with regular expression constraints m garofalakis , r rastogi , k shim vldb 1999",,
1449,"a framework for supporting data integration using the materialized and virtual approaches r hull , g zhou 1996",sigmod conference,
1450,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes vldb,,1999.0
1451,change detection in hierarchically structured information sigmod conference 1996,,
1452,"the new locking , logging , and recovery architecture of microsoft sql server 7.0 1999",vldb,
1453,the value of merge-join and hash-join in sql server,vldb,1999.0
1454,a query language and optimization techniques for unstructured data sigmod conference 1996,,
1455,"voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs j darmont , m schneider vldb",,1999.0
1456,accessing relational databases from the world wide web sigmod conference 1996,,
1457,"goal-oriented buffer management revisited k brown , m carey , m livny",sigmod conference,1996.0
1458,"building light-weight wrappers for legacy web data-sources using w4f a sahuguet , f azavant vldb 1999",,
1459,"aqua : a fast decision support systems using approximate query answers s acharya , p gibbons , v poosala vldb 1999",,
1460,"evaluating queries with generalized path expressions v christophides , s cluet , g moerkotte",sigmod conference,1996.0
1461,repeating history beyond aries vldb,,1999.0
1462,"cost-based optimization for magic : algebra and implementation p seshadri , j hellerstein , h pirahesh , t leung , r ramakrishnan , d srivastava , p stuckey , s sudarshan",sigmod conference,1996.0
1463,online feedback for nested aggregate queries with multi-threading 1999,vldb,
1464,algorithms for deferred view maintenance sigmod conference,,1996.0
1465,the persistent cache : improving oid indexing in temporal object-oriented database systems k nјrvхg vldb,,1999.0
1466,"a query language for multidimensional arrays : design , implementation , and optimization techniques l libkin , r machlin , l wong sigmod conference",,1996.0
1467,"mining deviants in a time series database h jagadish , n koudas , s muthukrishnan vldb 1999",,
1468,a super scalar sort algorithm for risc processors sigmod conference,,1996.0
1469,histogram-based approximation of set-valued query-answers 1999,vldb,
1470,bifocal sampling for skew-resistant join size estimation,sigmod conference,1996.0
1471,"semantic compression and pattern extraction with fascicles h jagadish , j madar , r ng vldb 1999",,
1472,"estimating alphanumeric selectivity in the presence of wildcards p krishnan , j vitter , b iyer",sigmod conference,1996.0
1473,adaptive parallel aggregation algorithms,sigmod conference,1995.0
1474,extending practical pre-aggregation in on-line analytical processing 1999,vldb,
1475,"aggregation algorithms for very large compressed data warehouses j li , d rotem , j srivastava vldb",,1999.0
1476,a general solution of the n-dimensional b-tree problem 1995,sigmod conference,
1477,extracting large-scale knowledge bases from the web 1999,vldb,
1478,"efficient optimistic concurrency control using loosely synchronized clocks a adya , r gruber , b liskov , u maheshwari",sigmod conference,1995.0
1479,"data-driven , one-to-one web site generation for data-intensive applications 1999",vldb,
1480,a critique of ansi sql isolation levels sigmod conference,,1995.0
1481,"the garlic project m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers sigmod conference",,1996.0
1482,"curio : a novel solution for efficient storage and indexing in data warehouses a datta , k ramamritham , h thomas",vldb,1999.0
1483,"datawarehousing has more colours than just black & white t zurek , m sinnwell vldb 1999",,
1484,"the multiview project : object-oriented view technology and applications e rundensteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn sigmod conference",,1996.0
1485,sonar : system for optimized numeric associationrules sigmod conference 1996,,
1486,high-performance extensible indexing m kornacker,vldb,1999.0
1487,"metu interoperable database system a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek sigmod conference 1996",,
1488,hierarchical prefix cubes for range-sum queries vldb 1999,,
1489,"prospector : a content-based multimedia server for massively parallel architectures s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader sigmod conference 1996",,
1490,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,vldb,1999.0
1491,"lore : a lightweight object repository for semistructured data d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener 1996",sigmod conference,
1492,"evaluating top-k selection queries s chaudhuri , l gravano 1999",vldb,
1493,hyperstorm - administering structured documents using object-oriented database technology,sigmod conference,1996.0
1494,"distributed hypertext resource discovery through examples s chakrabarti , m berg , b dom 1999",vldb,
1495,thinksheet : a tool for tailoring complex documents sigmod conference,,1996.0
1496,"building hierarchical classifiers using class proximity k wang , s zhou , s liew 1999",vldb,
1497,"active storage hierarchy , database systems and applications - socratic exegesis f cariёo , w o'connell , j burgess , j saltz 1999",vldb,
1498,state of the art in workflow management research and products 1996,,
1499,repository system engineering,,1996.0
1500,"cost models do matter : providing cost information for diverse data sources in a federated system m roth , f ozcan , l haas vldb",,1999.0
1501,generating call-level interfaces for advanced database application programming vldb 1999,,
1502,the ins and outs ( and everthing in between ) of data warehousing 1996,,
1503,"high level indexing of user-defined types w chen , j chow , y fuh , j grandbois , m jou , n mattos , b tran , y wang 1999",vldb,
1504,"is gui programming a database research problem ? n goyal , c hoch , r krishnamurthy , b meckler , m suckow 1996",sigmod conference,
1505,materialized view maintenance and integrity constraint checking : trading space for time 1996,sigmod conference,
1506,finding intensional knowledge of distance-based outliers vldb 1999,,
1507,"a novel index supporting high volume data warehouse insertion c jermaine , a datta , e omiecinski vldb",,1999.0
1508,maintaining database consistency in presence of value dependencies in multidatabase systems sigmod conference 1996,,
1509,rule languages and internal algebras for rule-based optimizers 1996,sigmod conference,
1510,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,vldb,1999.0
1511,"a scalable and highly available networked database architecture r bamford , r ahad , a pruscino",vldb,1999.0
1512,query execution techniques for caching expensive methods sigmod conference,,1996.0
1513,"semi-automatic , self-adaptive control of garbage collection rates in object databases j cook , a klauser , a wolf , b zorn sigmod conference",,1996.0
1514,context-based prefetch for implementing objects on relations vldb 1999,,
1515,towards effective and efficient free space management,sigmod conference,1996.0
1516,ghost : fine granularity buffering of indexes vldb 1999,,
1517,dbmss on a modern processor : where does time go ?,vldb,1999.0
1518,static detection of security flaws in object-oriented databases 1996,sigmod conference,
1519,capturing and querying multiple aspects of semistructured data vldb,,1999.0
1520,"multi-dimensional resource scheduling for parallel queries m garofalakis , y ioannidis sigmod conference 1996",,
1521,safe and efficient sharing of persistent objects in thor sigmod conference,,1996.0
1522,"cache conscious indexing for decision-support in main memory j rao , k ross",vldb,1999.0
1523,comparing hierarchical data in external memory 1999,vldb,
1524,"an open storage system for abstract objects s blott , l relly , h schek sigmod conference",,1996.0
1525,improved histograms for selectivity estimation of range predicates,sigmod conference,1996.0
1526,explaining differences in multidimensional aggregates 1999,vldb,
1527,very large databases in a commercial application environment k hess vldb 1996,,
1528,"database architecture optimized for the new bottleneck : memory access p boncz , s manegold , m kersten 1999",vldb,
1529,"structures for manipulating proposed updates in object-oriented databases m doherty , r hull , m rupawalla sigmod conference",,1996.0
1530,spatial hash-joins 1996,sigmod conference,
1531,active views for electronic commerce vldb 1999,,
1532,"partition based spatial-merge join j patel , d dewitt sigmod conference 1996",,
1533,"an adaptive hybrid server architecture for client caching odbmss k voruganti , m жzsu , r unrau 1999",vldb,
1534,"implementing data cubes efficiently v harinarayan , a rajaraman , j ullman 1996",sigmod conference,
1535,exploiting versions for handling updates in broadcast disks,vldb,1999.0
1536,fast algorithms for maintaining replica consistency in lazy master replicated databases,vldb,1999.0
1537,providing better support for a class of decision support queries,sigmod conference,1996.0
1538,"datablitz : a high performance main-memory storage manager j baulier , p bohannon , s gogate , s joshi , c gupta , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , a silberschatz , s sudarshan",vldb,1998.0
1539,adapting materialized views after redefinitions sigmod conference,,1995.0
1540,"bridging heterogeneity : research and practice of database middleware technology f rezende , g sauter 1998",vldb,
1541,broadcast disks : data management for asymmetric communications environments sigmod conference,,1995.0
1542,heterogeneous database query optimization in db2 universal datajoiner,vldb,1998.0
1543,an effective hash based algorithm for mining association rules sigmod conference,,1995.0
1544,"a database system for real-time event aggregation in telecommunication j baulier , s blott , h korth , a silberschatz",vldb,1998.0
1545,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets c faloutsos , k lin",sigmod conference,1995.0
1546,"dynamic resource brokering for multi-user query execution d davison , g graefe 1995",sigmod conference,
1547,architecture of oracle parallel server,vldb,1998.0
1548,checkpointing in oracle vldb 1998,,
1549,"applying update streams in a soft real-time database system b adelberg , h garcia-molina , b kao 1995",sigmod conference,
1550,"balancing histogram optimality and practicality for query result size estimation y ioannidis , v poosala sigmod conference",,1995.0
1551,from data independence to knowledge independence : an on-going story vldb,,1998.0
1552,dtl 's dataspot : database exploration using plain language,vldb,1998.0
1553,enhancing database correctness : a statistical approach sigmod conference 1995,,
1554,resource scheduling for composite multimedia objects vldb 1998,,
1555,"copy detection mechanisms for digital documents s brin , j davis , h garcia-molina sigmod conference 1995",,
1556,"performance measurements of tertiary storage devices t johnson , e miller vldb 1998",,
1557,a database interface for file updates sigmod conference,,1995.0
1558,"incremental maintenance for materialized views over semistructured data s abiteboul , j mchugh , m rys , v vassalos , j wiener vldb",,1998.0
1559,fault tolerant design of multimedia servers,sigmod conference,1995.0
1560,proximity search in databases 1998,vldb,
1561,efficient maintenance of materialized mediated views sigmod conference,,1995.0
1562,"carnot and infosleuth : database technology and the world wide web d woelk , w bohrer , n jacobs , k ong , c tomlinson , c unnikrishnan sigmod conference",,1995.0
1563,technology and the future of commerce and finance ( abstract ) vldb,,1998.0
1564,active storage for large-scale data mining and multimedia vldb,,1998.0
1565,high availability of commercial applications k ivinskis sigmod conference,,1995.0
1566,enterprise transaction processing on windows nt g hope,sigmod conference,1995.0
1567,a single pass computing engine for interactive analysis of vldbs t mihalisin,vldb,1998.0
1568,dms : a parallel data mining server f george vldb,,1998.0
1569,directv and oracle rdb : the challenges of vldb transaction processing w gettys 1995,sigmod conference,
1570,"enterprise objects framework , a second generation object-relational enabler",sigmod conference,1995.0
1571,"low-cost compensation-based query processing и grјvlen , s hvasshovd , и torbjјrnsen vldb 1998",,
1572,an overview of db2 parallel edition,sigmod conference,1995.0
1573,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,vldb,1998.0
1574,data extraction and transformation for the data warehouse,sigmod conference,1995.0
1575,"reducing the braking distance of an sql query engine m carey , d kossmann 1998",vldb,
1576,cover your assets m olson sigmod conference,,1995.0
1577,querying continuous time sequences,vldb,1998.0
1578,"recovery protocols for shared memory database systems l molesky , k ramamritham sigmod conference 1995",,
1579,edgar f. codd : a tribute and personal memoir sigmod record 2003,,
1580,nd-sql : a multi-dimensional language for interoperability and olap vldb 1998,,
1581,the lyric language : querying constraint objects sigmod conference,,1995.0
1582,"the heterogeneity problem and middleware technology : experiences with and performance of database gateways f rezende , k hergula vldb",,1998.0
1583,"evaluating functional joins along nested reference sets in object-relational and object-oriented databases r braumandl , j clauпen , a kemper vldb 1998",,
1584,datamine - interactive rule discovery system,sigmod conference,1995.0
1585,"using schema matching to simplify heterogeneous data translation t milo , s zohar",vldb,1998.0
1586,efendi : federated database system of cadlab sigmod conference,,1995.0
1587,nearest neighbor queries 1995,sigmod conference,
1588,on optimal node splitting for r-trees vldb 1998,,
1589,"r-tree based indexing of now-relative bitemporal data r bliujute , c jensen , s saltenis , g slivinskas vldb",,1998.0
1590,topological relations in the world of minimum bounding rectangles : a study with r-trees sigmod conference,,1995.0
1591,"towards an effective calculus for object query languages l fegaras , d maier 1995",sigmod conference,
1592,"optimal histograms with quality guarantees h jagadish , n koudas , s muthukrishnan , v poosala , k sevcik , t suel",vldb,1998.0
1593,"ofl : a functional execution model for object query languages g gardarin , f machuca , p pucheral sigmod conference 1995",,
1594,"incremental clustering for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu vldb 1998",,
1595,"inferring function semantics to optimize queries m cherniack , s zdonik",vldb,1998.0
1596,oodb indexing by class-division,sigmod conference,1995.0
1597,the handwritten trie : indexing electronic ink sigmod conference 1995,,
1598,"topaz : a cost-based , rule-driven , multi-phase parallelizer c nippl , b mitschang",vldb,1998.0
1599,"improving adaptable similarity query processing by using approximations m ankerst , b braunmќller , h kriegel , t seidl",vldb,1998.0
1600,"parallel evaluation of multi-join queries a wilschut , j flokstra , p apers 1995",sigmod conference,
1601,mindreader : querying databases through multiple examples,vldb,1998.0
1602,"the merge/purge problem for large databases m hernсndez , s stolfo",sigmod conference,1995.0
1603,semantic assumptions and query evaluation in temporal databases sigmod conference 1995,,
1604,"what do those weird xml types want , anyway ? vldb",,1999.0
1605,"online dynamic reordering for interactive data processing v raman , b raman , j hellerstein 1999",vldb,
1606,implementing crash recovery in quickstore : a performance study,sigmod conference,1995.0
1607,hyper-programming in java,vldb,1999.0
1608,"reducing multidatabase query response time by tree balancing w du , m shan , u dayal sigmod conference 1995",,
1609,"industrial panel on data warehousing technologies : experiences , challenges , and directions u dayal 1999",vldb,
1610,temporal conditions and integrity constraints in active database systems sigmod conference,,1995.0
1611,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance a hosking , j chen 1999",vldb,
1612,view maintenance in a warehousing environment,sigmod conference,1995.0
1613,"implementation of sql3 structured types with inheritance and value substitutability y fuh , s deпloch , w chen , n mattos , b tran , b lindsay , l demichel , s rielau , d mannhaupt",vldb,1999.0
1614,"hypergraph based reorderings of outer join queries with complex predicates g bhargava , p goel , b iyer",sigmod conference,1995.0
1615,"the spiffi scalable video-on-demand system c freedman , d dewitt",sigmod conference,1995.0
1616,"implementation of two semantic query optimization techniques in db2 universal database q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer vldb",,1999.0
1617,optimization of run-time management of data intensive web-sites 1999,vldb,
1618,incremental maintenance of views with duplicates sigmod conference,,1995.0
1619,"join queries with external text sources : execution and optimization techniques s chaudhuri , u dayal , t yan",sigmod conference,1995.0
1620,determining text databases to search in the internet vldb,,1998.0
1621,"an online video placement policy based on bandwith to space ratio ( bsr ) a dan , d sitaram sigmod conference 1995",,
1622,atomicity versus anonymity : distributed transactions for electronic commerce j tygar 1998,vldb,
1623,diag-join : an opportunistic join algorithm for 1 : n relationships,vldb,1998.0
1624,upsizing from file server to clent server architectures t team sigmod conference,,1995.0
1625,"object-oriented , rapid application development in a pc database environment 1995",sigmod conference,
1626,"hash joins and hash teams in microsoft sql server g graefe , r bunker , s cooper vldb 1998",,
1627,"the data that you wo n't find in databases : tutorial panel on data exchange formats p buneman , d maier sigmod conference 1995",,
1628,spatio-temporal retrieval with rasdaman vldb 1999,,
1629,"using the calanda time series management system w dreyer , a dittrich , d schmidt",sigmod conference,1995.0
1630,"xml repository and active views demonstration s abiteboul , v aguilera , s ailleret , b amann , s cluet , b hills , f hubert , j mamou , a marian , l mignet , t milo , c santos , b tessier , a vercoustre vldb",,1999.0
1631,the lotus notes storage system k moore sigmod conference,,1995.0
1632,"the mirror mmdbms architecture a vries , m doorn , h blanken , p apers vldb 1999",,
1633,keynote address,,1995.0
1634,"miro web : integrating multiple data sources through semistructured data types l bouganim , t chan-sine-ying , t dang-ngoc , j darroux , g gardarin , f sha 1999",vldb,
1635,parallel database systems 101 j gray sigmod conference,,1995.0
1636,"clustering categorical data : an approach based on dynamical systems d gibson , j kleinberg , p raghavan vldb 1998",,
1637,keynote address,,1995.0
1638,things every update replication customer should know r golding,sigmod conference,1995.0
1639,"fast high-dimensional data search in incomplete databases b ooi , c goh , k tan 1998",vldb,
1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,vldb,
1641,versant replication : supporting fault-tolerant object databases sigmod conference 1995,,
1642,research and products : are they relevant to each other ? ( panel ) sigmod conference,,1995.0
1643,algorithms for mining distance-based outliers in large datasets vldb 1998,,
1644,real world requirements for decision support - implications for rdbms s bansal sigmod conference,,1995.0
1645,design and analysis of parametric query optimization algorithms vldb,,1998.0
1646,filtering with approximate predicates vldb,,1998.0
1647,`` one size fits all '' database architectures do not work for dds c french,sigmod conference,1995.0
1648,binding propagation in disjunctive databases vldb 1998,,
1649,leveraging the information asset sigmod conference,,1995.0
1650,use of a component architecture in integrating relational and non-relational storage systems r atkinson 1995,sigmod conference,
1651,computing iceberg queries efficiently 1998,vldb,
1652,bulk-loading techniques for object databases and an application to relational data 1998,vldb,
1653,informix online xps 1995,sigmod conference,
1654,order-of-magnitude advantage of tpc-c though massive parallelism sigmod conference,,1995.0
1655,algorithms for querying by spatial structure vldb,,1998.0
1656,a raster approximation for processing of spatial joins,vldb,1998.0
1657,objects and sql : strange relations ? panel d deutsch,sigmod conference,1995.0
1658,bank of america case study : the information currency advantage,vldb,1998.0
1659,indexing multimedia databases ( tutorial ) 1995,,
1660,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,vldb,1998.0
1661,an overview of the emerging third-generation sql standard ( tutorial ),,1995.0
1662,"workflow automation : applications , technology , and research ( tutorial )",,1995.0
1663,"design , implementation , and performance of the lham log-structured history data access method vldb 1998",,
1664,integration approaches for cim,,1995.0
1665,"expiring data in a warehouse h garcia-molina , w labio , j yang vldb 1998",,
1666,storage technology : raid and beyond 1995,,
1667,"buffering and read-ahead strategies for external mergesort w zhang , p larson vldb 1998",,
1668,an efficient cost-driven index selection tool for microsoft sql server 1997,vldb,
1669,"the samos active dbms prototype s gatziu , a geppert , k dittrich 1995",sigmod conference,
1670,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),sigmod conference,1995.0
1671,"algorithms for materialized view design in data warehousing environment j yang , k karlapalem , q li",vldb,1997.0
1672,"data warehouse configuration d theodoratos , t sellis vldb",,1997.0
1673,"infoharness : a system for search and retrieval of heterogeneous information l shklar , a sheth , v kashyap , s thatte",sigmod conference,1995.0
1674,fast computation of sparse datacubes vldb,,1997.0
1675,qbi : query by icons sigmod conference,,1995.0
1676,"1-safe algorithms for symmetric site configurations r humborstad , m sabaratnam , s hvasshovd , и torbjјrnsen vldb",,1997.0
1677,"the reach active oodbms a buchmann , a deutsch , j zimmermann , m higa sigmod conference 1995",,
1678,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources vldb",,1997.0
1679,the query by image content ( qbic ) system sigmod conference,,1995.0
1680,"the naos system c collet , t coupaye 1995",sigmod conference,
1681,describing and using query capabilities of heterogeneous sources vldb,,1997.0
1682,"efficient construction of regression trees with range and region splitting y morimoto , h ishii , s morishita vldb",,1997.0
1683,the algres testbed of chimera : an active object-oriented database system 1995,sigmod conference,
1684,"concurrent garbage collection in o2 m skubiszewski , p valduriez vldb",,1997.0
1685,ptool : a light weight persistent object manager 1995,sigmod conference,
1686,a one-pass algorithm for accurately estimating quantiles for disk-resident data vldb 1997,,
1687,finding data in the neighborhood vldb 1997,,
1688,"pattern matching and pattern discovery in scientific , program , and document databases j wang , k zhang , d shasha 1995",sigmod conference,
1689,"adaptive data broadcast in hybrid networks k stathatos , n roussopoulos , j baras",vldb,1997.0
1690,shore : combining the best features of oodbms and file systems sigmod conference,,1995.0
1691,"a generic approach to bulk loading multidimensional index structures j bercken , b seeger , p widmayer vldb 1997",,
1692,paradise : a database system for gis applications sigmod conference,,1995.0
1693,"evaluation of main memory join algorithms for joins with set comparison join predicates s helmer , g moerkotte vldb 1997",,
1694,"semint : a system prototype for semantic integration in heterogeneous databases w li , c clifton",sigmod conference,1995.0
1695,dynamic memory adjustment for external mergesort,vldb,1997.0
1696,"information translation , mediation , and mosaic-based browsing in the tsimmis system j hammer , h garcia-molina , k ireland , y papakonstantinou , j ullman , j widom sigmod conference 1995",,
1697,garbage collection in object oriented databases using transactional cyclic reference counting vldb,,1997.0
1698,visdb : a system for visualizing large databases sigmod conference,,1995.0
1699,"data modeling of time-based media s gibbs , c breiteneder , d tsichritzis 1994",sigmod conference,
1700,fast incremental maintenance of approximate histograms vldb,,1997.0
1701,groupwise processing of relational queries vldb 1997,,
1702,combinatorial pattern discovery for scientific data : some preliminary results sigmod conference,,1994.0
1703,a region splitting strategy for physical database design of multidimensional file organizations vldb,,1997.0
1704,"aries/csa : a method for database recovery in client-server architectures c mohan , i narang sigmod conference",,1994.0
1705,ensuring relaxed atomicity for flexible transactions in multidatabase systems,sigmod conference,1994.0
1706,"dataguides : enabling query formulation and optimization in semistructured databases r goldman , j widom",vldb,1997.0
1707,"energy efficient indexing on air t imielinski , s viswanathan , b badrinath 1994",sigmod conference,
1708,"geo/environmental and medical data management in the rasdaman system p baumann , p furtado , r ritsch , n widmann vldb 1997",,
1709,"asset : a system for supporting extended transactions a biliris , s dar , n gehani , h jagadish , k ramamritham sigmod conference 1994",,
1710,"gte superpages : using ir techniques for searching complex objects s whitehead , h sinha , m murphy vldb 1997",,
1711,effective memory use in a media server,vldb,1997.0
1712,"the ecrc multi database system w jonker , h schќtz sigmod conference 1995",,
1713,data replication for mobile computers sigmod conference,,1994.0
1714,efficient user-adaptable similarity search in large multimedia databases vldb 1997,,
1715,"fine-grained sharing in a page server oodbms m carey , m franklin , m zaharioudakis sigmod conference 1994",,
1716,critical database technologies for high energy physics,vldb,1997.0
1717,"fast subsequence matching in time-series databases c faloutsos , m ranganathan , y manolopoulos",sigmod conference,1994.0
1718,"caprera : an activity framework for transaction processing on wide-area networks s kumar , e kwang , d agrawal vldb 1997",,
1719,"distributing a search tree among a growing number of processors b krіll , p widmayer",sigmod conference,1994.0
1720,"data manager for evolvable real-time command and control systems e hughes , r ginis , b thuraisingham , p krupp , j maurer 1997",vldb,
1721,"distributed processing over stand-alone systems and applications g alonso , c hagen , h schek , m tresch vldb",,1997.0
1722,from structured documents to novel query facilities 1994,sigmod conference,
1723,"alphasort : a risc machine sort c nyberg , t barclay , z cvetanovic , j gray , d lomet",sigmod conference,1994.0
1724,the microsoft repository 1997,vldb,
1725,"distributed file organization with scalable cost/performance r vingralek , y breitbart , g weikum sigmod conference 1994",,
1726,multidimensional access methods : trees have grown everywhere 1997,vldb,
1727,adaptive selectivity estimation using query feedback,sigmod conference,1994.0
1728,"efficient testing of high performance transaction processing systems d wildfogel , r yerneni vldb 1997",,
1729,innovation in database management : computer science vs. engineering vldb,,1997.0
1730,estimating page fetches for index scans with finite lru buffers sigmod conference 1994,,
1731,"public : a decision tree classifier that integrates building and pruning r rastogi , k shim vldb",,1998.0
1732,genesys : a system for efficient spatial query processing sigmod conference 1994,,
1733,eos : an extensible object store 1994,sigmod conference,
1734,on the discovery of interesting patterns in association rules 1998,vldb,
1735,wavecluster : a multi-resolution clustering approach for very large spatial databases vldb 1998,,
1736,databases for networks h jagadish sigmod conference,,1994.0
1737,a survey and critique of advanced transaction models,sigmod conference,1994.0
1738,"rainforest - a framework for fast decision tree construction of large datasets j gehrke , r ramakrishnan , v ganti",vldb,1998.0
1739,dec data distributor : for data replication and data warehousing d dietterich,sigmod conference,1994.0
1740,small materialized aggregates : a light weight index structure for data warehousing g moerkotte vldb,,1998.0
1741,"secure buffering in firm real-time database systems b george , j haritsa vldb",,1998.0
1742,"a performance study of transitive closure algorithms s dar , r ramakrishnan 1994",sigmod conference,
1743,safely and efficiently updating references during on-line reorganization 1998,vldb,
1744,database in crisis and transition : a technical agenda for the year 2001 d vaskevitch 1994,sigmod conference,
1745,coss : the common object services specifications sigmod conference,,1994.0
1746,"materialized view selection for multidimensional datasets a shukla , p deshpande , j naughton",vldb,1998.0
1747,"the effectiveness of gloss for the text database discovery problem l gravano , h garcia-molina , a tomasic",sigmod conference,1994.0
1748,"ratio rules : a new paradigm for fast , quantifiable data mining",vldb,1998.0
1749,implementation of magic-sets in a relational database system 1994,sigmod conference,
1750,"scalable sweeping-based spatial join l arge , o procopiuc , s ramaswamy , t suel , j vitter vldb 1998",,
1751,mining surprising patterns using temporal description length,vldb,1998.0
1752,optimization of dynamic query evaluation plans 1994,sigmod conference,
1753,"incomplete path expressions and their disambiguation y ioannidis , y lashkari sigmod conference",,1994.0
1754,scalable techniques for mining causal structures 1998,vldb,
1755,"sleepers and workaholics : caching strategies in mobile environments d barbarс , t imielinski",sigmod conference,1994.0
1756,selectivity estimation in extensible databases - a neural network approach 1998,vldb,
1757,evolving teradata decision support for massively parallel processing with unix c ballinger sigmod conference,,1994.0
1758,massive stochastic testing of sql d slutz vldb 1998,,
1759,"issues in developing very large data warehouses l do , p drew , w jin , v jumani , d rossum",vldb,1998.0
1760,staggered striping in multimedia information systems sigmod conference 1994,,
1761,database issues in telecommunications network management 1994,sigmod conference,
1762,the drill down benchmark vldb 1998,,
1763,the national medical knowledge bank vldb,,1998.0
