move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect
m994,6,id-5,90,10,100,0,11,2,1,,,,
m995,4,id-14,,10,,0,10,1,251,,1,,16
m996,7,id-7,,1,,,10,3,1,,,,
m997,7,id-8,,1,,0,10,3,1,,,,
m998,2,id-16,120,10,100,0,8,2,28,,1,6,7
m999,8,id-2,,10,,,13,1,1,100,,,
m1000,7,id-8,,1,,0,10,2,1,,,,
m1001,2,id-1,,20,100,,11,1,25,,3,5,19
m1002,7,id-5,,1,,0,10,3,1,,,,
m1003,2,id-8,,10,,0,1,1,110,,5,31,21
m1004,7,id-5,,1,,0,10,2,1,,,,
m1005,7,id-6,,1,,0,10,3,1,,,,
m1006,5,id-10,100,5,50,0,10,3,5,100,,,
m1007,5,id-10,100,5,50,0,10,3,5,100,,,
m1008,7,id-6,,1,,0,10,2,1,,,,
m1009,4,id-4,80,20,100,0,10,2,3,30,4,,4
m1010,4,id-17,80,15,100,0,10,3,32,20,1,,17
m1011,3,id-3,60,20,,,10,2,18,,1,27,17
m1012,4,id-2,70,10,100,0,10,2,218,,4,,16
m1013,5,id-11,80,10,100,0,10,3,325,,,,
m1014,5,id-10,80,10,100,0,10,3,326,,,,
m1015,5,id-1,70,5,100,0,10,2,320,,,,
m1016,5,id-2,,5,100,0,10,3,321,,,,
m1017,5,id-1,,15,,0,10,1,324,,,,
m1018,5,id-10,100,5,50,0,10,3,5,100,,,
m1019,5,id-10,60,15,100,0,11,3,315,,,,
m1020,5,id-17,,15,100,0,10,1,316,,,,
m1021,5,id-3,55,15,100,0,10,2,318,,,,
m1022,5,id-1,,15,,0,10,1,319,,,,
m1023,2,id-17,60,20,,,10,2,18,,4,27,18
m1024,8,id-17,80,10,100,0,10,2,423,,,,
m1025,4,id-6,80,20,100,0,10,3,1,,2,,5
m1026,4,id-6,80,20,100,0,10,3,1,,2,,5
m1027,4,id-17,,10,100,0,10,2,234,,5,,23
m1028,7,id-6,,1,,0,10,2,1,,,,
m1029,2,id-1,,25,,0,4,1,125,,2,15,13
m1030,1,id-1,80,10,100,0,11,3,40,,1,2,6
m1031,2,id-1,,,,0,4,1,125,,2,15,13
m1032,1,id-10,35,15,85,0,10,3,43,100,2,24,21
m1033,4,id-1,,10,100,0,10,3,269,,4,,14
m1034,5,id-2,85,10,100,0,10,3,283,,,,
m1035,8,id-15,10,10,,0,2,2,1,,,,
m1036,3,id-10002,70,,100,0,6,3,1,,,,
m1037,2,id-1,,10,,,10,1,144,,4,12,11
m1038,5,id-14,,10,,,10,1,280,,,,
m1039,5,id-14,,10,,0,10,1,280,,,,
m1040,3,id-14,,20,100,0,10,3,32,10,1,4,17
m1041,6,id-14,80,20,100,0,10,3,32,10,1,4,17
m1042,7,id-4,,1,,0,10,2,1,,,,
m1043,5,id-16,,15,90,0,10,2,45,,,,
m1044,5,id-16,40,15,90,0,10,2,45,,,,
m1045,3,id-5,55,15,95,0,10,3,71,100,5,5,2
m1046,2,id-1,,15,100,0,10,1,121,,3,18,19
m1047,3,id-1,60,25,100,0,10,2,106,,3,20,12
m1048,3,id-4,50,25,100,0,10,2,210,10,4,33,4
m1049,3,id-12,60,20,,0,10,3,18,,2,27,17
m1050,3,id-13,120,15,100,0,10,2,263,10,1,3,22
m1051,3,id-14,,20,,0,7,1,212,,4,16,11
m1052,2,id-1,,5,,0,10,1,107,,2,18,10
m1053,3,id-16,,20,,0,7,1,213,,1,32,11
m1054,3,id-12,90,15,100,0,10,2,44,,1,2,17
m1055,3,id-10002,50,,100,0,6,3,1,,,,
m1056,7,id-12,,10,100,0,10,1,388,100,,,
m1057,4,id-1,,15,100,,10,2,223,,1,,18
m1058,5,id-17,,15,,0,7,1,278,,,,
m1059,5,id-6,,10,,3,4,1,279,,,,
m1060,6,id-18,,10,,0,12,1,353,,,,
m1061,6,id-12,,10,,0,12,1,352,,,,
m1062,6,id-18,,10,,0,12,1,355,,,,
m1063,6,id-1,140,10,100,0,9,3,379,,,,
m1064,6,id-18,95,15,100,0,10,3,72,30,,,
m1065,6,id-18,40,30,100,0,10,3,1,,,,
m1066,4,id-16,100,5,95,0,10,3,44,,5,,4
m1067,4,id-14,,10,,0,7,1,271,,2,,8
m1068,4,id-1,,5,100,0,10,2,238,,5,,15
m1069,4,id-10,100,5,75,0,10,3,43,100,5,,7
m1070,4,id-17,,10,50,0,11,1,2,,4,,19
m1071,4,id-12,120,5,85,0,10,3,272,40,1,,22
m1072,4,id-8,60,5,100,0,10,3,141,10,4,,11
m1073,4,id-8,120,5,100,0,10,2,273,,4,,22
m1074,2,id-7,,10,,0,10,1,107,,4,18,13
m1075,2,id-10,,5,,0,12,1,138,,2,11,13
m1076,2,id-17,80,15,100,0,10,2,70,20,5,4,18
m1077,2,id-14,,20,100,-5,1,3,145,,2,16,15
m1078,2,id-1,,10,,0,10,1,144,,4,12,11
m1079,2,id-1,80,5,100,2,10,2,104,,1,30,1
m1080,2,id-6,60,5,100,0,10,3,141,10,5,32,18
m1081,2,id-8,80,15,100,0,10,3,73,20,4,22,17
m1082,2,id-14,120,10,100,0,10,3,149,,4,24,17
m1083,2,id-2,40,15,100,0,10,2,70,50,5,29,18
m1084,1,id-1,70,20,100,0,10,2,44,,1,2,5
m1085,1,id-1,,10,90,0,10,2,41,,5,14,5
m1086,1,id-1,50,1,,0,8,2,255,,1,1,5
m1087,1,id-1,,10,,0,7,1,80,,4,16,23
m1088,2,id-2,10,10,90,0,10,2,105,,1,1,7
m1089,2,id-1,,1,,0,10,1,96,,4,19,23
m1090,7,id-8,80,10,100,0,10,2,385,,,,
m1091,3,id-17,,20,100,0,10,1,347,100,,,
m1092,4,id-10,,1,,0,10,2,1,,,,
m1093,7,id-17,85,10,100,0,10,2,304,,,,
m1094,3,id-13,120,15,100,0,10,2,263,10,1,3,22
m1095,2,id-1,,25,,0,4,1,125,,2,15,13
m1096,7,id-12,,1,,0,10,2,1,,,,
m1097,7,id-12,,1,,0,10,3,1,,,,
m1098,7,id-13,,1,,0,10,2,1,,,,
m1099,2,id-1,,20,100,0,10,2,124,,3,13,18
m1100,7,id-10,,1,,0,10,2,1,,,,
m1101,7,id-10,,1,,0,10,3,1,,,,
m1102,7,id-11,,1,,0,10,2,1,,,,
m1103,7,id-11,,1,,0,10,3,1,,,,
m1104,1,id-15,65,20,100,0,10,3,69,10,2,23,17
m1105,7,id-18,,10,,0,10,1,387,,,,
m1106,7,id-17,,1,,0,10,2,1,,,,
m1107,7,id-14,,1,,0,10,2,1,,,,
m1108,7,id-14,,1,,0,10,3,1,,,,
m1109,3,id-12,150,,90,0,10,3,81,,1,6,22
m1110,7,id-5,95,10,95,0,10,2,1,,,,
m1111,5,id-1,,30,,0,7,1,328,,,,
m1112,8,id-11,60,20,100,0,10,2,1,,,,
m1113,7,id-11,90,10,100,0,9,3,386,,,,
m1114,8,id-14,10,10,,0,2,2,1,,,,
m1115,8,id-16,10,10,,0,2,2,1,,,,
m1116,8,id-18,10,10,,0,2,2,1,,,,
m1117,8,id-3,10,10,,0,2,2,1,,,,
m1118,8,id-11,10,10,,0,2,2,1,,,,
m1119,7,id-15,100,10,90,0,10,2,219,100,,,
m1120,8,id-15,10,10,,0,2,2,1,,,,
m1121,8,id-8,10,10,,0,2,2,1,,,,
m1122,8,id-2,10,10,,0,2,2,1,,,,
m1123,8,id-1,10,10,,0,2,2,1,,,,
m1124,3,id-10002,,,,0,6,1,107,,,,
m1125,6,id-2,100,10,90,0,10,2,219,100,1,,2
m1126,7,id-13,60,20,100,0,10,3,1,100,,,
m1127,4,id-9,80,,100,0,10,2,32,30,5,,18
m1128,8,id-7,10,10,,0,2,2,1,,,,
m1129,8,id-5,10,10,,0,2,2,1,,,,
m1130,1,id-1,,20,,0,10,1,24,,4,22,10
m1131,4,id-9,80,15,100,0,10,2,32,30,5,,18
m1132,1,id-1,120,15,100,0,10,2,199,,5,3,9
m1133,1,id-1,,30,100,0,11,1,20,,3,28,19
m1134,7,id-15,,1,,0,10,2,1,,,,
m1135,3,id-10002,75,,100,0,10,3,5,10,,,
m1136,1,id-1,85,15,100,0,10,2,7,30,5,4,5
m1137,1,id-1,15,20,90,0,10,2,43,100,5,24,21
m1138,1,id-1,90,20,85,0,10,2,49,,5,3,5
m1139,1,id-1,120,10,100,0,8,2,28,,5,6,7
m1140,1,id-1,65,25,100,0,10,2,1,,1,1,5
m1141,1,id-1,15,20,85,0,10,2,30,,1,10,7
m1142,1,id-1,,5,30,0,10,2,39,,1,14,9
m1143,1,id-1,40,35,100,0,10,2,1,,5,1,5
m1144,1,id-10,90,15,100,0,10,3,5,10,2,1,17
m1145,7,id-2,,1,,0,10,2,1,,,,
m1146,5,id-2,85,10,100,0,10,3,283,,,,
m1147,1,id-6,75,10,90,0,11,2,32,30,5,5,5
m1148,1,id-1,,30,100,0,11,1,20,,3,28,19
m1149,5,id-16,40,15,90,0,10,2,45,,,,
m1150,2,id-3,100,5,95,0,10,3,44,,1,2,22
m1151,7,id-14,200,1,,0,10,3,416,,,,
m1152,3,id-11,60,20,,0,10,3,77,20,2,21,17
m1153,,id-11,60,20,100,0,10,3,77,20,2,21,17
m1154,7,id-10,150,5,100,-3,11,3,408,,,,
m1155,7,id-14,100,5,100,0,10,3,1,,,,
m1156,1,id-1,80,15,90,0,10,2,32,10,1,4,18
m1157,1,id-1,80,15,90,0,10,2,32,10,1,4,18
m1158,3,id-9,,15,,0,7,1,285,,,,
m1159,5,id-9,,15,,,7,1,285,,,,
m1160,1,id-1,,15,,0,7,1,17,,1,16,1
m1161,7,id-8,90,10,100,,10,2,410,,,,
m1162,7,id-8,90,10,100,0,10,2,410,,,,
m1163,1,id-15,,5,70,0,11,3,261,10,2,1,17
m1164,2,id-5,,10,100,0,10,3,74,100,3,10,5
m1165,2,id-5,20,10,,0,10,3,74,100,3,10,5
m1166,4,id-12,120,15,100,0,10,2,199,,5,,18
m1167,4,id-11,,,,0,7,1,252,,2,,8
m1168,4,id-8,60,5,,0,10,3,141,10,4,,11
m1169,4,id-12,120,15,100,0,10,2,199,,5,,18
m1170,7,id-12,125,10,100,0,10,2,152,,,,
m1171,8,id-4,10,10,,0,2,2,1,,,,
m1172,1,id-1,,20,,0,7,1,317,,2,32,11
m1173,3,id-10,95,10,90,0,11,3,5,10,2,1,17
m1174,3,id-10,95,10,90,0,11,3,5,10,2,1,17
m1175,3,id-3,,15,100,0,10,1,59,,2,28,19
m1176,1,id-1,,20,,0,7,1,317,,2,32,11
m1177,7,id-9,60,5,100,0,10,2,45,30,,,
m1178,8,id-6,,15,100,0,10,1,426,100,,,
m1179,8,id-11,25,5,100,0,10,2,1,,,,
m1180,7,id-8,200,1,,0,10,3,411,,,,
m1181,1,id-1,,40,100,,11,1,19,,3,28,19
m1182,6,id-5,,10,,0,14,1,340,100,,,
m1183,7,id-13,80,10,100,2,10,2,1,100,,,
m1184,7,id-8,80,,100,0,10,2,385,,,,
m1185,7,id-14,,10,,0,10,1,399,,,,
m1186,3,id-1,,40,,0,13,1,11,,1,32,11
m1187,7,id-18,,1,,0,10,3,1,,,,
m1188,7,id-18,,1,,0,10,3,1,,,,
m1189,5,id-14,60,25,100,0,10,2,32,30,,,
m1190,5,id-14,60,25,100,,10,2,32,30,,,
m1191,7,id-1,,30,,0,7,1,391,,,,
m1192,3,id-14,140,5,90,0,10,3,205,100,4,3,22
m1193,1,id-7,,40,95,0,11,1,61,,4,9,19
m1194,5,id-3,110,10,70,0,10,3,334,30,,,
m1195,3,id-1,,40,,0,13,1,11,,1,32,11
m1196,1,id-1,80,10,100,0,11,3,40,,1,2,6
m1197,5,id-1,75,10,100,0,11,3,330,10,,,
m1198,5,id-1,120,5,100,0,10,3,269,,,,
m1199,5,id-10,100,5,100,0,9,3,5,30,,,
m1200,5,id-9,50,15,85,0,10,2,45,,,,
m1201,4,id-14,80,15,90,0,10,2,32,20,2,,18
m1202,4,id-9,65,10,85,0,10,3,74,30,3,,17
m1203,5,id-1,25,10,85,0,10,2,30,,,,
m1204,5,id-14,100,10,100,0,10,3,283,,,,
m1205,4,id-10,65,15,95,0,10,2,274,10,2,,5
m1206,4,id-8,40,30,100,1,10,2,104,,4,,1
m1207,4,id-5,65,10,85,0,10,3,74,30,4,,18
m1208,4,id-14,70,20,100,0,10,2,44,,1,,17
m1209,4,id-15,40,30,100,1,10,2,104,,2,,1
m1210,4,id-8,70,15,100,0,10,2,44,,3,,17
m1211,4,id-13,65,15,95,0,10,2,276,10,4,,5
m1212,4,id-15,65,15,95,0,10,2,275,10,1,,5
m1213,6,id-13,65,,100,0,9,3,346,,,,
m1214,4,id-7,60,20,,0,10,2,225,,5,,12
m1215,1,id-7,80,10,100,,10,2,4,,4,9,20
m1216,3,id-10002,,,90,0,6,1,50,,,,
m1217,3,id-10002,,,,0,12,1,10005,,,,
m1218,3,id-10002,,,,0,6,1,107,,,,
m1219,3,id-10002,,,100,0,6,1,10004,,,,
m1220,3,id-10002,,,100,0,6,1,60,,,,
m1221,3,id-10002,,,100,0,12,3,10003,,,,
m1222,3,id-10002,95,,100,0,6,3,1,,,,
m1223,3,id-3,85,5,85,0,10,2,264,30,3,15,6
m1224,1,id-1,200,5,100,0,9,2,8,,2,7,9
m1225,5,id-1,,,,0,7,1,328,,,,
m1226,3,id-1,40,10,100,3,10,2,159,100,3,23,17
m1227,3,id-10002,,,,0,12,1,10006,,,,
m1228,8,id-5,70,10,100,0,10,3,1,30,,,
m1229,1,id-8,,30,100,0,10,2,7,30,5,4,16
m1230,1,id-8,30,30,100,0,10,2,7,30,5,4,16
m1231,6,id-7,,20,,0,6,1,341,,,,
m1232,1,id-1,,30,,0,11,1,20,,3,28,19
m1233,1,id-4,,35,75,,10,1,67,,4,33,19
m1234,1,id-4,,,75,0,10,1,67,,4,33,19
m1235,4,id-1,,,,0,7,1,243,,1,,12
m1236,4,id-7,90,10,,0,10,3,73,10,3,,4
m1237,1,id-6,75,10,,0,11,2,32,30,5,5,5
m1238,7,id-12,70,15,100,0,10,2,396,100,,,
m1239,7,id-14,,15,,0,10,1,403,,,,
m1240,7,id-13,100,15,100,0,10,2,1,,,,
m1241,7,id-10,150,5,100,0,9,3,420,,,,
m1242,7,id-6,190,1,,0,10,2,418,,,,
m1243,7,id-18,190,1,,0,10,2,417,,,,
m1244,7,id-8,200,1,,0,10,3,411,,,,
m1245,7,id-9,200,1,,0,10,2,411,,,,
m1246,7,id-10,80,15,100,0,10,2,397,100,,,
m1247,7,id-17,20,10,100,0,10,2,306,,,,
m1248,7,id-10,130,5,100,0,10,3,398,,,,
m1249,3,id-11,,15,,0,12,1,211,,3,1,13
m1250,7,id-9,70,10,,0,10,2,18,,,,
m1251,7,id-4,,20,,0,10,1,400,,,,
m1252,7,id-1,90,15,100,0,10,3,401,,,,
m1253,7,id-16,100,10,100,0,11,3,402,,,,
m1254,3,id-12,150,5,90,0,10,3,81,,1,6,22
m1255,3,id-2,,20,,0,7,1,209,,2,32,11
m1256,1,id-3,80,20,,0,10,2,1,,1,1,5
m1257,1,id-3,80,20,100,0,10,2,1,,1,1,5
m1258,3,id-11,90,10,85,0,11,3,74,30,5,10,18
m1259,3,id-12,25,30,100,0,10,2,30,,1,14,7
m1260,3,id-3,60,20,,0,10,2,18,,1,27,17
m1261,3,id-15,25,30,100,0,10,2,30,,2,23,7
m1262,3,id-9,,15,,0,7,1,52,,5,15,13
m1263,3,id-1,,5,,0,10,1,107,,3,18,13
m1264,3,id-1,,40,,0,13,1,11,,1,32,11
m1265,3,id-16,80,15,100,0,10,2,1,,1,23,17
